name	A549_WT_01dex_A	A549_WT_01dex_B	A549_WT_0dex_A	A549_WT_0dex_B	A549_WT_100dex_A	A549_WT_100dex_B	U20S_WT_01dex_A	U20S_WT_01dex_B	U20S_WT_0dex_A	U20S_WT_0dex_B	U20S_WT_100dex_A	U20S_WT_100dex_B	length
1402	BAG4	85	218	57	168	107	119	100	116	33	111	49	81	36715
1403	BAG5	112	324	106	332	212	221	160	148	69	155	68	154	5776
1404	BAG6	0	0	0	0	0	0	0	0	0	0	0	0	13367
1405	BAGE2	1	2	0	1	0	0	154	193	78	169	53	206	78085
1406	BAHCC1	625	1937	821	2215	693	781	174	266	175	300	91	182	66613
1407	BAHD1	84	290	98	274	153	146	162	197	146	283	58	109	27093
1408	BAIAP2	573	1788	710	1806	1298	1730	4900	7671	1934	3659	3835	9844	75367
1409	BAIAP2L1	691	1994	707	2017	608	861	851	1137	624	1511	232	809	109467
1410	BAIAP2L2	101	310	106	312	190	198	68	53	39	89	25	74	25782
1411	BAIAP3	7	26	8	32	14	17	36	50	36	61	16	47	13246
1412	BAK1	48	149	72	152	80	116	113	146	72	127	64	129	7749
1413	BAMBI	91	231	99	181	127	149	57	59	25	54	23	45	5446
1414	BANF1	21	87	20	109	33	50	63	95	43	122	26	74	2069
1415	BANF2	2	1	0	1	1	1	0	0	1	0	0	2	35926
1416	BANK1	68	117	60	115	106	75	120	143	31	87	49	205	260988
1417	BANP	194	671	231	560	289	383	261	266	152	210	140	288	107302
1418	BAP1	95	245	111	258	157	161	184	225	117	279	77	260	9103
1419	BARD1	212	785	178	750	334	475	1242	1454	539	1607	442	1302	84067
1420	BARHL1	0	0	0	0	0	0	0	0	0	1	0	0	7649
1421	BARHL2	0	0	1	0	0	0	0	0	0	0	0	0	5217
1422	BARX1	5	12	1	21	8	14	0	0	0	0	0	0	3701
1423	BARX2	0	0	0	1	0	1	5	2	3	6	2	7	76295
1424	BASP1	1436	4723	1631	5006	1352	1778	61	70	44	92	23	27	59286
1425	BATF	29	34	12	38	64	37	26	15	0	2	11	23	24553
1426	BATF2	15	29	9	35	9	7	41	68	16	57	10	30	2334
1427	BATF3	112	287	89	264	192	265	63	97	70	144	44	127	13570
1428	BAX	293	844	327	950	447	591	421	426	293	475	195	422	6404
1429	BAZ1A	445	1216	540	1409	778	886	333	431	203	575	124	335	122918
1430	BAZ1B	566	1705	668	1780	956	1124	1300	1569	772	1874	530	1494	81889
1431	BAZ2A	324	914	422	1035	428	546	418	573	370	844	127	371	34737
1432	BAZ2B	729	1639	641	1666	1107	1038	1789	2080	701	2182	502	1477	296619
1433	BBC3	150	707	222	766	154	283	239	318	206	528	95	187	10374
1434	BBIP1	134	374	154	404	176	262	177	219	81	263	73	222	20208
1435	BBOF1	34	77	20	76	50	38	47	38	27	61	15	26	46738
1436	BBOX1	0	0	0	0	0	0	0	2	1	0	8	15	86847
1437	BBS1	273	708	246	584	494	426	610	576	267	570	732	1956	22967
1438	BBS10	119	303	188	340	188	250	156	205	80	182	76	179	3958
1439	BBS12	53	168	47	146	107	88	65	43	30	62	19	43	12243
1440	BBS2	176	438	166	462	335	350	234	221	125	236	97	240	35751
1441	BBS4	101	371	106	349	147	217	78	87	54	114	21	58	52299
1442	BBS5	22	54	11	37	30	33	33	39	16	37	13	35	27161
1443	BBS7	91	214	70	290	131	126	120	153	90	191	60	174	42772
1444	BBS9	212	703	234	654	360	446	444	527	203	542	194	480	476530
1445	BBX	986	2758	887	2542	1732	1694	1140	1339	470	1167	563	1635	288395
1446	BCAM	70	190	59	201	77	81	140	177	113	164	49	112	12364
1447	BCAN	1	0	0	2	1	0	0	0	0	0	0	1	11526
1448	BCAP29	124	357	147	406	211	213	352	400	170	500	132	398	42560
1449	BCAP31	188	523	209	498	347	409	261	345	163	444	208	580	23611
1450	BCAR1	258	803	301	782	465	582	408	683	427	925	135	589	10475
1451	BCAR3	356	907	284	735	761	699	395	427	174	377	179	413	23378
1452	BCAS1	3	24	9	23	4	12	16	25	12	32	6	21	115484
1453	BCAS2	61	142	76	146	89	87	300	266	138	280	119	278	14089
1454	BCAS3	1218	3282	1161	3068	1903	2166	1015	1075	488	1107	410	1006	715065
1455	BCAS4	184	543	199	557	299	355	417	482	208	452	229	592	82285
1456	BCAT1	66	157	45	198	100	91	450	467	215	615	128	443	92366
1457	BCAT2	361	1041	428	1052	553	638	363	448	226	449	147	366	16003
1458	BCCIP	99	272	89	267	135	159	199	228	110	264	87	219	13022
1459	BCDIN3D	152	455	204	454	264	303	202	224	136	232	69	272	7088
1460	BCHE	14	19	13	21	26	18	15	7	0	8	6	3	64571
1461	BCKDHA	365	1128	420	1094	632	794	345	467	180	414	161	468	27218
1462	BCKDHB	103	390	89	386	175	278	314	320	162	325	126	365	239662
1463	BCKDK	54	164	45	151	95	116	33	45	27	62	18	47	4499
1464	BCL10	133	391	141	363	157	252	311	336	174	354	94	289	11130
1465	BCL11A	7	20	9	19	14	10	742	868	489	1202	235	629	96306
1466	BCL11B	120	328	134	312	120	244	495	617	262	614	246	628	102428
1467	BCL2	8	37	15	53	16	19	15	26	15	59	7	25	1428
1468	BCL2A1	59	159	46	146	25	30	0	1	0	3	3	3	10413
1469	BCL2L1	2956	8168	2079	6167	4922	5417	4365	5420	1432	3388	1063	3213	58096
1470	BCL2L10	40	89	50	75	60	76	6	7	6	9	3	8	3514
1471	BCL2L11	82	195	85	195	124	129	185	281	111	265	94	217	7934
1472	BCL2L12	74	222	83	239	133	137	197	220	162	312	61	163	8776
1473	BCL2L13	92	282	102	280	104	143	49	59	30	60	19	75	24199
1474	BCL2L14	7	11	1	6	6	7	0	3	0	0	8	11	28229
1475	BCL2L15	23	47	17	57	32	48	8	19	5	15	3	10	10735
1476	BCL2L2	96	309	91	323	150	201	139	146	65	171	38	104	4901
1477	BCL2L2-PABPN1	884	1946	993	2293	1264	1367	730	753	418	917	277	542	19425
1478	BCL3	485	1715	665	1679	484	671	96	126	118	318	26	61	11325
1479	BCL6	220	460	173	383	603	547	327	322	103	143	262	512	13532
1480	BCL6B	0	1	0	0	0	1	1	2	0	2	0	2	6594
1481	BCL7A	221	728	289	730	347	428	190	211	110	226	72	174	40160
1482	BCL7B	206	549	274	579	313	404	343	437	201	501	138	415	21384
1483	BCL7C	66	176	84	166	101	102	76	105	72	134	36	81	6509
1484	BCL9	157	483	182	414	196	217	533	615	327	739	169	405	84720
1485	BCL9L	783	2158	840	2005	1719	2044	733	999	498	1157	231	633	14766
1486	BCLAF1	296	843	303	850	478	462	809	1017	319	1070	342	937	32990
1487	BCLAF3	168	456	117	435	219	282	120	134	63	124	46	127	57406
1488	BCO1	124	344	119	363	107	132	2	3	1	4	4	4	52453
1489	BCO2	5	18	2	20	17	27	29	32	10	31	10	26	42565
1490	BCOR	436	1494	504	1357	765	896	703	1008	425	1053	445	1302	46222
1491	BCORL1	133	378	176	405	177	230	109	146	113	194	46	128	52897
1492	BCR	450	1267	490	1200	671	953	152	221	56	100	225	582	137674
1493	BCS1L	22	70	35	95	36	44	57	51	37	67	28	44	3789
1494	BDH1	0	0	0	0	0	0	0	0	0	0	0	1	46206
1495	BDH2	71	137	43	131	86	83	123	156	65	152	51	145	22244
1496	BDKRB1	38	95	31	91	56	61	0	3	0	3	1	2	8555
1497	BDKRB2	721	1860	833	1973	554	663	42	55	23	41	22	56	39533
1498	BDNF	83	203	99	161	130	135	52	54	31	72	29	73	4758
1499	BDP1	0	0	0	0	0	0	0	0	0	0	0	0	112209
1500	BEAN1	213	667	237	592	538	604	167	173	85	166	53	159	55547
1501	BECN1	307	1025	336	890	506	675	320	402	170	368	150	466	13749
1502	BECN2	0	0	0	0	1	1	0	1	0	1	0	0	1297
1503	BEGAIN	83	271	87	254	105	147	45	79	41	69	26	60	30925
1504	BEND2	0	0	0	0	0	0	0	0	0	0	0	2	49970
1505	BEND3	57	146	56	163	86	94	116	134	43	153	36	92	49253
1506	BEND4	1	0	1	1	4	1	0	0	0	2	0	3	42027
1507	BEND5	5	17	5	11	9	6	192	222	81	169	98	268	49448
1508	BEND6	34	96	34	84	21	38	69	78	65	142	31	67	55973
1509	BEND7	264	512	262	560	255	230	296	414	206	625	91	266	61890
1510	BEST1	181	433	133	384	514	546	29	23	7	8	16	37	13712
1511	BEST2	2	7	3	10	6	10	5	8	5	5	5	8	5867
1512	BEST3	28	76	39	77	40	49	36	55	36	49	18	46	6040
1513	BEST4	17	22	25	45	21	30	3	3	2	9	2	2	4171
1514	BET1	127	309	146	318	168	224	108	195	63	120	93	242	11142
1515	BET1L	247	833	378	871	413	589	193	311	165	316	105	257	4500
1516	BEX1	0	0	0	0	0	0	49	53	21	28	27	45	1589
1517	BEX2	8	21	5	29	23	20	9	30	19	22	9	18	1611
1518	BEX3	28	63	38	63	38	50	21	20	9	10	3	10	985
1519	BEX4	6	7	6	5	5	3	81	70	21	74	33	80	2110
1520	BEX5	0	0	0	0	0	0	11	27	6	13	9	18	2085
1521	BFAR	0	0	0	1	0	0	0	0	0	0	0	0	36427
1522	BFSP1	128	320	176	351	188	247	97	69	64	119	27	90	37466
1523	BFSP2	5	15	0	10	11	8	42	31	9	18	7	18	75219
1524	BGLAP	19	56	16	38	14	23	16	34	24	54	8	38	1372
1525	BGN	0	0	1	1	0	1	2	1	1	0	3	0	14667
1526	BHLHA15	2	4	0	4	0	5	4	1	2	2	1	8	707
1527	BHLHA9	2	7	0	4	3	4	0	0	2	0	0	1	709
1528	BHLHB9	11	24	12	21	25	16	5	6	0	7	0	8	6464
1529	BHLHE22	1	0	0	0	0	0	0	0	0	1	0	0	3398
1530	BHLHE23	0	0	0	0	0	0	0	0	1	0	1	4	1058
1531	BHLHE40	687	2075	928	2409	371	621	527	570	419	1132	99	233	5771
1532	BHLHE41	103	208	145	228	94	76	128	62	74	107	35	40	5046
1533	BHMG1	1	6	0	4	6	0	1	3	2	0	0	0	31290
1534	BHMT	0	0	0	0	0	2	0	0	0	0	0	0	20511
1535	BHMT2	0	0	0	0	1	0	0	0	0	1	0	1	20352
1536	BICC1	6802	16295	6166	16050	8661	8841	644	820	317	913	303	884	318295
1537	BICD1	599	1590	583	1622	862	956	936	1062	501	1368	252	822	226263
1538	BICD2	380	1130	499	1149	673	871	437	607	380	750	211	595	53440
1539	BICDL1	226	555	201	539	540	663	357	494	255	895	87	366	104653
1540	BICDL2	1	0	0	5	0	1	1	0	0	1	0	3	7676
1541	BICRA	796	2359	949	2259	1569	1781	1418	1817	1001	2147	581	1679	95083
1542	BICRAL	76	234	103	188	94	102	209	232	102	272	68	222	47506
1543	BID	273	1024	377	1072	411	573	86	162	77	178	60	164	39904
1544	BIK	75	274	74	250	74	122	41	55	14	46	7	32	18966
1545	BIN1	125	435	146	486	100	91	361	551	252	514	137	412	34044
1546	BIN2	10	39	11	22	16	24	2	0	1	0	0	1	43162
1547	BIN3	632	1908	827	1792	1056	1156	960	1040	532	1181	353	941	48732
1548	BIRC2	122	369	117	365	203	227	269	350	112	274	122	338	31298
1549	BIRC3	495	1385	279	1120	1406	1429	427	775	29	91	180	628	21955
1550	BIRC5	226	1104	274	934	432	600	889	1179	486	1139	396	1166	11441
1551	BIRC6	884	2667	843	2574	1428	1659	1674	1933	728	2085	570	1859	261873
1552	BIRC7	35	138	73	163	48	65	1	2	1	6	1	1	4626
1553	BIRC8	0	0	0	0	0	0	0	0	0	0	0	0	2023
1554	BIVM	64	172	65	173	94	108	53	64	34	77	29	50	42491
1555	BIVM-ERCC5	257	786	265	816	412	504	195	262	137	261	74	198	68857
1556	BLCAP	32	94	33	93	64	50	35	44	33	62	23	59	2888
1557	BLID	7	27	14	16	11	11	10	12	6	11	8	17	863
1558	BLK	7	10	8	9	17	7	35	40	6	13	8	14	70589
1559	BLM	179	627	121	627	304	442	622	757	282	791	422	1281	98137
1560	BLMH	244	672	297	720	483	499	456	446	261	564	245	653	43973
1561	BLNK	7	25	6	31	12	17	2	0	1	0	0	0	79819
1562	BLOC1S1	41	115	48	119	60	67	133	116	90	199	51	89	3675
1563	BLOC1S2	172	547	279	567	267	381	201	288	123	271	66	248	13088
1564	BLOC1S3	35	158	52	175	99	146	38	73	35	71	31	57	3058
1565	BLOC1S4	8	39	9	38	12	20	20	25	5	29	3	25	1547
1566	BLOC1S5	116	394	152	383	230	278	182	218	122	239	82	234	50849
1567	BLOC1S6	42	130	39	124	49	70	62	93	24	118	21	82	22158
1568	BLVRA	208	576	225	660	324	386	140	156	90	189	59	132	48671
1569	BLVRB	497	1409	547	1549	646	791	228	230	201	369	65	136	18036
1570	BLZF1	26	87	31	68	39	45	59	81	46	113	17	84	9506
1571	BMF	102	253	80	213	78	107	100	146	50	109	42	100	18198
1572	BMI1	73	214	89	206	101	173	378	431	237	609	122	306	10277
1573	BMP1	446	1117	493	1070	760	776	257	370	197	421	87	235	36345
1574	BMP10	0	0	0	0	0	0	0	0	0	0	0	0	10603
1575	BMP15	0	0	0	0	0	0	0	0	0	0	0	0	5908
1576	BMP2	71	158	61	150	49	57	35	51	15	41	6	23	12184
1577	BMP2K	167	424	173	425	220	248	288	319	193	522	100	232	103064
1578	BMP3	0	0	0	0	0	0	1	1	0	0	0	3	26662
1579	BMP4	101	357	169	325	118	153	262	301	198	387	40	104	3741
1580	BMP5	4	3	0	3	9	3	1317	1483	696	2027	246	853	121939
1581	BMP6	111	386	109	423	185	298	26	35	15	39	21	29	155631
1582	BMP7	8	15	5	19	8	6	306	408	270	480	202	493	97900
1583	BMP8A	1	15	3	13	6	13	63	90	54	90	31	94	38225
1584	BMP8B	24	83	15	76	67	41	2	1	2	2	0	3	31681
1585	BMPER	375	926	396	853	568	518	476	424	223	452	168	427	250963
1586	BMPR1A	458	1269	441	1243	719	779	683	820	379	961	211	697	168551
1587	BMPR1B	219	599	215	606	324	354	127	111	36	117	38	114	66961
1588	BMPR2	323	697	257	796	373	341	607	665	338	856	179	575	191426
1589	BMS1	137	455	132	410	212	280	517	687	268	781	234	693	52433
1590	BMT2	383	967	425	958	583	734	294	344	189	461	122	315	120732
1591	BMX	0	3	0	0	1	1	2	0	1	0	2	6	49223
1592	BNC1	1	4	2	2	2	4	69	90	23	63	17	59	27556
1593	BNC2	1323	3347	1456	3161	2266	2218	1807	2363	825	2501	809	2233	461287
1594	BNIP1	77	247	72	221	120	107	214	219	103	233	67	215	19947
1595	BNIP2	279	948	428	970	529	689	587	816	311	786	242	759	29782
1596	BNIP3	113	385	274	448	303	480	85	148	105	169	78	170	14332
1597	BNIP3L	112	291	116	335	150	224	105	176	47	136	47	122	22740
1598	BNIPL	98	292	169	293	243	254	107	98	84	128	39	89	11049
1599	BOC	33	89	43	86	56	47	63	59	39	91	15	43	39097
1600	BOD1	157	393	177	492	284	343	193	253	92	227	107	272	9520
1601	BOD1L1	464	1325	542	1334	705	741	599	708	272	631	240	732	58964
1602	BOD1L2	0	0	0	0	1	0	1	1	0	1	1	2	3348
1603	BOK	27	73	42	76	51	60	347	518	302	741	122	437	15409
1604	BOLA1	5	30	2	24	18	17	27	33	19	30	12	21	1215
1605	BOLA2	0	0	0	0	0	0	0	0	0	0	0	0	1378
1606	BOLA2-SMG1P6	0	0	0	0	0	0	0	0	0	0	0	0	11302
1607	BOLA2B	0	0	0	1	0	0	0	0	0	0	0	0	1378
1608	BOLA3	217	561	218	568	305	359	295	411	205	435	169	422	12513
1609	BOLL	0	1	0	1	0	0	4	5	2	6	2	3	58133
1610	BOP1	196	537	308	646	413	435	663	1075	539	1197	343	1015	29394
1611	BORA	77	305	63	269	143	168	336	331	150	364	90	290	28296
1612	BORCS5	286	649	247	590	517	511	345	340	161	437	87	324	114144
1613	BORCS6	131	321	175	362	212	227	95	118	82	165	39	112	1915
1614	BORCS7	16	61	22	68	36	49	69	79	34	92	22	74	10753
1615	BORCS8	162	329	159	392	252	228	182	180	122	216	77	190	10717
1616	BORCS8-MEF2B	474	1177	511	1240	716	822	642	770	474	858	273	785	47026
1617	BPGM	89	270	88	248	163	149	40	57	28	65	18	57	33039
1618	BPHL	119	356	144	368	216	264	161	209	118	236	80	198	34824
1619	BPI	0	0	0	0	0	1	1	0	0	1	0	1	33355
1620	BPIFA1	0	0	0	0	0	0	0	0	0	0	0	0	7315
1621	BPIFA2	0	2	0	0	0	0	0	0	0	0	1	2	13342
1622	BPIFA3	0	0	0	0	0	0	0	0	0	0	0	0	10498
1623	BPIFB1	6	26	9	24	9	6	1	1	0	0	5	6	26745
1624	BPIFB2	0	0	1	0	1	0	1	0	0	0	0	0	16133
1625	BPIFB3	0	0	0	0	0	0	0	1	0	0	6	14	18308
1626	BPIFB4	1	0	0	2	1	2	16	6	1	2	15	17	30241
1627	BPIFB6	0	0	0	0	0	1	0	0	0	0	0	0	12401
1628	BPIFC	0	0	0	0	0	0	2	1	0	0	1	5	43541
1629	BPNT1	97	206	106	250	109	144	113	95	71	157	37	75	32373
1630	BPTF	657	1754	634	1817	1049	1239	1114	1250	621	1647	358	1215	158716
1631	BPY2	0	0	0	0	0	0	0	0	0	0	0	0	21204
1632	BPY2B	0	0	0	0	0	0	0	0	0	0	0	0	21205
1633	BPY2C	0	0	0	0	0	0	0	0	0	0	0	0	21205
1634	BRAF	387	1184	338	1167	568	677	1019	1217	416	1270	305	1085	192367
1635	BRAP	249	723	220	640	401	456	376	432	175	444	152	488	43852
1636	BRAT1	253	713	305	769	392	480	493	679	440	805	199	554	17950
1637	BRCA1	267	967	259	998	430	632	489	471	245	558	212	467	79822
1638	BRCA2	119	535	104	477	187	263	650	767	262	755	233	692	84194
1639	BRCC3	209	517	184	540	285	353	299	280	180	457	124	299	51656
1640	BRD1	401	1168	434	1146	565	700	916	1129	592	1231	354	1014	51055
1641	BRD2	0	0	0	0	0	0	0	0	0	0	0	0	8423
1642	BRD3	542	1794	765	1812	992	1210	514	727	330	748	219	608	37716
1643	BRD3OS	51	99	46	120	96	78	42	46	38	81	19	52	2711
1644	BRD4	367	1147	430	1084	640	736	574	798	344	854	244	680	27458
1645	BRD7	198	708	197	670	313	389	476	637	238	625	203	585	49918
1646	BRD8	281	756	351	754	442	502	341	415	221	454	176	419	21787
1647	BRD9	441	1131	484	1213	632	818	739	1022	465	1015	392	973	28826
1648	BRDT	0	1	0	0	0	0	4	3	1	5	1	0	62278
1649	BRF2	55	251	71	210	105	141	60	91	38	81	29	97	6035
1650	BRI3	483	1401	451	1248	663	796	319	402	199	539	100	253	9862
1651	BRI3BP	105	398	104	385	205	209	212	233	137	297	63	227	32157
1652	BRICD5	118	422	129	454	226	278	134	172	135	259	54	149	1817
1653	BRINP1	25	56	21	77	37	34	101	158	73	156	38	127	202833
1654	BRINP2	2	11	1	7	5	10	34	31	5	12	18	55	111036
1655	BRINP3	5	11	5	5	4	5	2	6	3	8	2	7	378345
1656	BRIP1	394	1615	430	1559	745	864	2628	2749	1110	2921	882	2604	184375
1657	BRIX1	69	194	35	157	96	109	282	339	135	347	94	300	9969
1658	BRK1	66	164	43	159	85	102	131	140	57	169	33	123	11543
1659	BRMS1	311	652	340	789	323	457	278	271	210	284	180	346	7780
1660	BRMS1L	60	165	53	166	94	99	90	90	34	99	26	71	45574
1661	BROX	113	343	114	350	186	216	217	255	87	292	82	206	21877
1662	BRPF1	180	527	177	479	288	304	368	463	228	483	135	445	16267
1663	BRPF3	188	529	189	505	273	321	1045	1437	645	1549	425	1318	36019
1664	BRS3	0	0	0	0	0	0	0	0	0	0	1	0	4475
1665	BRSK1	233	563	277	552	266	324	338	378	255	457	105	270	28398
1666	BRSK2	151	523	193	543	231	343	22	22	12	23	13	21	51539
1667	BRWD1	136	341	168	408	235	289	119	171	73	213	50	158	17351
1668	BRWD3	170	414	165	370	184	205	288	287	187	438	87	260	140248
1669	BSCL2	208	591	284	709	385	392	366	468	255	613	148	376	16055
1670	BSDC1	272	728	269	707	407	426	417	500	191	447	176	510	29830
1671	BSG	188	657	264	674	291	416	307	388	215	526	89	283	11041
1672	BSN	55	132	30	118	70	67	67	62	30	59	26	59	117062
1673	BSND	0	0	0	0	0	0	0	0	0	2	0	1	9850
1674	BSPH1	0	0	0	0	0	1	0	0	0	1	2	6	24126
1675	BSPRY	0	0	2	0	3	2	0	0	0	0	0	1	21703
1676	BST1	37	103	30	119	58	73	27	16	15	43	6	19	29225
1677	BST2	0	0	0	0	0	0	0	0	0	0	0	0	2711
1678	BSX	0	0	1	1	1	0	0	0	0	1	0	1	4024
1679	BTAF1	301	893	270	842	453	573	805	921	356	1068	259	870	106348
1680	BTBD1	366	1195	413	1197	644	776	624	804	294	814	257	726	50933
1681	BTBD10	141	400	124	406	208	226	265	338	151	444	89	243	52285
1682	BTBD11	682	1641	643	1545	1127	1001	10	5	10	14	9	13	78787
1683	BTBD16	340	987	358	959	494	645	162	180	63	158	51	150	66886
1684	BTBD17	0	0	0	0	0	0	0	2	0	0	0	0	5454
1685	BTBD18	0	0	0	0	0	0	0	0	0	0	0	0	8269
1686	BTBD19	116	343	150	406	120	184	225	286	198	501	43	108	5649
1687	BTBD2	238	730	325	737	453	585	335	463	264	450	174	480	30257
1688	BTBD3	21	106	29	86	40	54	126	146	55	136	40	100	8732
1689	BTBD6	14	63	16	62	28	38	0	0	0	0	0	0	2553
1690	BTBD7	0	0	0	0	0	0	0	0	0	0	0	0	45466
1691	BTBD8	49	129	41	136	74	95	49	56	28	67	20	41	67537
1692	BTBD9	689	1504	656	1490	1022	949	1379	1536	562	1435	480	1454	427618
1693	BTC	74	189	67	227	136	124	26	35	12	25	11	49	49929
1694	BTD	52	146	66	152	112	116	146	213	104	274	44	158	40285
1695	BTF3	111	304	89	292	167	199	219	320	119	345	68	339	7200
1696	BTF3L4	139	381	120	391	218	212	353	525	207	571	151	416	34533
1697	BTG1	666	1665	682	1854	1163	1383	326	379	130	383	160	315	5621
1698	BTG2	48	215	57	232	121	176	157	215	117	272	84	234	4068
1699	BTG3	32	93	24	98	41	43	195	171	64	282	43	167	19302
1700	BTG4	9	32	18	38	19	24	32	57	21	68	12	31	44826
1701	BTK	1	2	2	5	0	3	8	3	1	5	0	3	36779
1702	BTLA	0	2	1	1	2	2	2	3	4	5	4	6	35597
1703	BTN1A1	0	0	0	0	0	0	0	0	0	0	0	0	9160
1704	BTN2A1	83	261	62	251	129	159	88	103	39	132	23	83	11751
1705	BTN2A2	59	147	49	116	48	78	90	128	31	98	25	97	11665
1706	BTN3A1	17	42	18	46	17	24	9	25	11	22	8	13	12981
1707	BTN3A2	6	35	13	23	19	13	5	8	4	3	4	9	10144
1708	BTN3A3	17	35	8	27	18	21	10	15	4	16	3	10	12945
1709	BTNL10	0	0	0	0	0	0	0	0	0	0	0	0	1931
1710	BTNL2	0	0	0	0	0	0	0	0	0	0	0	0	13793
1711	BTNL3	0	0	0	0	0	0	0	1	0	1	0	0	17884
1712	BTNL8	0	0	1	1	0	0	18	18	8	12	10	17	41344
1713	BTNL9	9	26	14	47	21	24	93	111	41	74	101	235	16946
1714	BTRC	343	942	316	995	509	583	498	569	291	669	199	485	203290
1715	BUB1	130	527	115	545	237	315	920	1181	520	1464	372	1109	40411
1716	BUB1B	154	507	117	530	218	292	596	664	310	838	208	584	60129
1717	BUB1B-PAK6	133	519	142	523	188	224	546	685	316	753	196	547	60061
1718	BUB3	118	403	120	384	196	226	373	472	171	490	115	379	11128
1719	BUD13	127	368	197	383	215	284	282	330	170	343	136	428	24830
1720	BUD23	120	416	141	371	209	250	227	326	136	402	84	289	14655
1721	BUD31	112	278	104	307	160	160	211	248	114	270	80	224	10640
1722	BVES	41	132	60	158	85	97	1	0	0	0	0	0	39526
1723	BYSL	93	255	106	241	144	156	422	514	240	532	174	492	11821
1724	BZW1	97	256	91	197	140	185	221	306	103	332	69	208	11515
1725	BZW2	187	638	173	581	279	310	497	826	227	790	195	624	60391
1726	C10orf105	1	3	0	0	0	4	1	1	0	1	0	0	8122
1727	C10orf111	98	252	140	240	175	183	117	114	77	162	44	121	1936
1728	C10orf113	36	98	34	80	172	174	21	17	2	4	3	16	20798
1729	C10orf120	0	0	0	0	0	0	0	0	0	0	0	0	2118
1730	C10orf126	0	2	0	0	0	2	2	6	0	4	1	6	35492
1731	C10orf142	0	0	0	0	0	0	17	29	8	34	3	16	1901
1732	C10orf143	215	721	198	698	332	448	153	251	109	166	93	274	46927
1733	C10orf25	4	6	7	5	10	5	84	93	65	95	64	183	3214
1734	C10orf53	0	0	0	0	0	0	2	2	2	1	1	4	17904
1735	C10orf55	33	36	28	60	38	34	26	8	11	8	8	8	12810
1736	C10orf62	6	1	2	9	8	10	0	0	0	0	0	0	1243
1737	C10orf67	15	36	15	39	14	21	34	29	12	37	14	31	28254
1738	C10orf71	0	0	0	0	0	0	0	0	1	0	0	1	28352
1739	C10orf82	161	355	148	334	204	168	32	55	25	61	21	40	6303
1740	C10orf88	97	367	113	328	176	207	168	185	93	189	68	167	23502
1741	C10orf90	4	16	7	29	5	5	12	9	4	2	9	21	18649
1742	C10orf95	1	0	0	1	2	4	3	3	0	0	1	1	1708
1743	C10orf99	1	0	1	0	1	0	0	0	0	0	0	0	11498
1744	C11orf1	20	58	13	58	37	42	121	75	33	102	30	64	4852
1745	C11orf16	0	0	0	0	0	0	0	0	0	0	0	0	12932
1746	C11orf21	0	1	2	1	0	0	0	0	0	0	0	0	6275
1747	C11orf24	184	468	214	519	296	358	383	597	317	549	157	496	10668
1748	C11orf40	0	1	0	0	0	0	0	1	0	0	0	2	6399
1749	C11orf42	0	0	0	0	0	0	0	0	0	0	0	0	5569
1750	C11orf44	3	26	8	20	9	7	74	35	29	67	21	42	44398
1751	C11orf45	40	150	44	89	81	74	125	130	105	245	32	90	6134
1752	C11orf49	547	1475	531	1385	913	1001	744	775	370	866	251	767	225560
1753	C11orf52	9	21	12	14	33	21	42	47	21	45	19	48	7996
1754	C11orf53	0	0	0	0	0	0	2	4	2	5	2	3	30426
1755	C11orf54	103	269	77	279	193	216	80	76	44	100	28	73	21510
1756	C11orf58	167	553	151	496	254	345	348	481	168	451	138	511	19755
1757	C11orf65	58	155	58	158	79	99	116	173	106	185	52	320	84774
1758	C11orf68	26	155	56	161	73	92	123	179	117	189	36	107	2252
1759	C11orf71	120	333	197	408	193	267	352	320	175	303	221	426	2020
1760	C11orf74	37	131	39	145	62	104	110	103	51	131	42	102	64521
1761	C11orf80	183	582	212	628	297	394	306	360	184	347	139	326	98782
1762	C11orf86	0	16	0	21	5	6	0	0	0	0	0	0	1729
1763	C11orf87	1	0	0	2	1	1	2	1	0	0	0	3	7049
1764	C11orf88	9	4	5	5	1	2	34	32	17	65	4	20	22248
1765	C11orf91	185	437	188	499	516	404	214	265	104	219	218	461	2634
1766	C11orf94	72	220	63	181	110	123	88	107	45	144	38	100	750
1767	C11orf95	120	304	163	357	196	224	277	344	249	497	86	264	8751
1768	C11orf96	5	6	3	5	3	3	9	11	6	18	6	19	1329
1769	C11orf97	1	1	0	0	0	0	6	2	0	1	6	9	19596
1770	C11orf98	176	548	317	614	387	465	179	235	148	252	92	268	2401
1771	C12orf10	58	235	78	203	115	124	90	145	61	134	35	146	7497
1772	C12orf29	68	180	37	177	108	130	93	102	40	118	39	161	14671
1773	C12orf4	116	408	148	408	220	297	322	325	159	406	117	324	50780
1774	C12orf40	0	2	1	0	0	1	2	5	0	2	0	2	66022
1775	C12orf42	2	3	1	2	2	4	8	7	2	7	6	11	194074
1776	C12orf43	92	299	145	304	184	232	195	205	97	211	94	205	14082
1777	C12orf45	21	99	34	82	42	48	40	38	20	64	25	57	8409
1778	C12orf49	126	387	150	401	219	238	248	304	157	370	93	255	24782
1779	C12orf50	1	4	0	1	1	0	2	1	0	2	0	0	49362
1780	C12orf54	1	0	1	4	3	2	1	0	2	0	0	0	14013
1781	C12orf56	9	10	9	10	12	9	10	18	10	17	4	12	123584
