name	A549_WT_01dex_A	A549_WT_01dex_B	A549_WT_0dex_A	A549_WT_0dex_B	A549_WT_100dex_A	A549_WT_100dex_B	U20S_WT_01dex_A	U20S_WT_01dex_B	U20S_WT_0dex_A	U20S_WT_0dex_B	U20S_WT_100dex_A	U20S_WT_100dex_B	length
87	ABHD16A	0	0	0	0	0	0	0	0	0	0	0	0	16126
88	ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	1777
89	ABHD17A	37	95	44	104	65	62	53	83	48	90	32	61	8545
90	ABHD17B	259	875	300	776	459	502	363	386	174	395	150	412	46095
91	ABHD17C	376	1010	371	954	447	493	186	195	103	249	86	209	60312
92	ABHD18	106	320	103	278	145	169	116	122	58	180	31	113	74457
93	ABHD2	815	2345	667	1945	2185	2601	1492	1629	525	1245	662	1670	114212
94	ABHD3	76	149	81	146	113	87	24	35	26	38	7	27	13319
95	ABHD4	357	966	309	909	475	631	227	341	120	417	91	398	14123
96	ABHD5	39	152	64	152	100	110	149	199	62	184	57	178	31857
97	ABHD6	98	299	97	282	157	172	202	216	133	246	145	281	57236
98	ABHD8	38	120	56	154	77	90	53	55	43	82	17	33	11344
99	ABI1	318	1080	374	1098	460	608	592	815	375	1009	170	604	114493
100	ABI2	131	352	109	376	178	209	317	403	208	571	84	266	65291
101	ABI3	1	0	0	0	0	1	58	42	30	55	13	37	13000
102	ABI3BP	15	24	8	13	31	12	21	27	2	26	9	33	244157
103	ABL1	648	1489	669	1419	871	932	600	851	351	896	207	654	52422
104	ABL2	240	612	236	593	291	331	813	990	415	1465	139	537	32510
105	ABLIM1	695	1704	653	1649	617	688	1844	2512	988	2848	834	2491	95818
106	ABLIM2	62	164	72	154	104	137	32	17	17	19	8	22	64997
107	ABLIM3	691	1294	633	1256	1236	846	498	507	119	239	315	793	118994
108	ABO	0	1	0	3	1	1	1	0	0	0	0	0	20040
109	ABRA	0	1	0	0	0	0	0	0	1	2	0	1	10763
110	ABRACL	77	203	81	186	121	115	32	39	20	61	21	36	14622
111	ABRAXAS1	72	217	66	211	121	118	171	233	99	236	70	210	24200
112	ABRAXAS2	149	439	118	401	217	273	264	333	139	342	117	332	34887
113	ABT1	36	134	33	95	66	78	85	71	39	98	26	77	3109
114	ABTB1	120	353	143	324	187	206	71	113	64	109	28	95	7990
115	ABTB2	2025	5110	1900	4640	4255	4384	346	427	177	434	94	285	207023
116	ACAA1	145	579	201	524	262	350	178	258	118	211	89	266	14534
117	ACAA2	111	310	187	339	166	181	150	150	86	180	45	143	30379
118	ACACA	0	0	0	0	0	0	1	0	0	2	2	2	214777
119	ACACB	580	1501	589	1540	991	1447	139	160	73	210	67	155	128831
120	ACAD10	199	578	262	595	344	423	216	247	133	250	112	288	71056
121	ACAD11	165	389	164	435	260	274	278	278	129	333	124	282	101995
122	ACAD8	50	131	56	144	54	101	65	61	56	109	45	72	12317
123	ACAD9	197	652	221	612	338	383	478	565	227	601	190	571	33626
124	ACADL	1	1	1	6	0	1	77	104	28	62	20	73	37503
125	ACADM	79	254	91	257	148	184	226	232	162	334	84	195	39334
126	ACADS	79	214	83	201	106	121	53	54	42	74	42	78	14272
127	ACADSB	68	187	63	203	97	128	85	104	37	122	41	84	49379
128	ACADVL	244	708	269	833	317	423	145	192	162	307	81	178	5438
129	ACAN	4	6	0	13	6	1	106	93	36	57	53	92	71913
130	ACAP1	105	295	134	353	155	189	141	172	150	275	44	128	14947
131	ACAP2	171	530	193	636	310	373	410	621	290	801	146	530	168354
132	ACAP3	144	451	230	522	266	275	172	212	192	379	49	159	15507
133	ACAT1	61	175	61	175	115	131	198	231	93	266	60	245	26639
134	ACAT2	183	455	171	478	241	247	196	210	124	379	82	237	16578
135	ACBD3	349	929	385	927	496	618	484	532	278	590	211	485	42045
136	ACBD4	76	296	109	316	161	185	58	60	42	80	22	54	8536
137	ACBD5	261	917	345	989	436	591	171	232	129	288	86	277	45667
138	ACBD6	647	2069	609	1852	1028	1159	1139	1242	505	1387	473	1426	214672
139	ACBD7	31	87	39	88	72	56	75	130	47	115	33	145	13303
140	ACCS	166	440	139	387	250	300	75	119	44	83	43	124	17759
141	ACCSL	0	0	0	0	0	0	0	0	0	0	1	0	11998
142	ACD	97	214	127	243	126	197	95	155	106	144	37	147	3305
143	ACE	2	18	7	13	2	10	7	15	6	0	8	45	13565
144	ACE2	0	0	0	2	1	0	1	1	2	1	0	1	41038
145	ACER1	1	5	2	2	2	1	2	4	1	4	3	2	27132
146	ACER2	28	119	19	120	47	71	65	74	31	80	72	158	43577
147	ACER3	281	768	258	770	454	496	393	560	204	635	120	472	165926
148	ACHE	3	6	1	5	1	6	17	23	12	42	7	15	5257
149	ACIN1	419	1278	523	1311	686	873	480	652	320	695	222	619	13008
150	ACKR1	0	0	1	1	0	0	7	19	7	19	1	6	1243
151	ACKR2	2	10	2	8	7	9	36	31	15	28	13	25	57813
152	ACKR3	15	16	6	13	16	17	270	277	141	379	89	162	12619
153	ACKR4	0	0	0	0	0	0	0	0	0	0	0	0	2509
154	ACLY	2079	5724	2644	6100	3322	4277	1073	1508	843	2103	382	1220	52095
155	ACMSD	3	3	2	10	10	4	1	3	0	0	1	1	63420
156	ACO1	786	1945	729	1866	742	979	281	327	155	526	117	240	66235
157	ACO2	320	1025	289	976	531	690	953	1226	587	1277	423	1106	59866
158	ACOD1	0	0	0	0	4	0	1	0	1	0	0	1	10085
159	ACOT1	2	22	2	30	9	10	6	8	3	11	5	7	6572
160	ACOT11	71	173	57	162	96	102	178	209	110	199	150	317	62200
161	ACOT12	3	8	4	9	6	10	19	25	8	16	10	21	64043
162	ACOT13	82	208	79	241	112	114	34	31	29	47	13	41	38036
163	ACOT2	7	31	8	51	10	17	32	23	11	41	8	32	6601
164	ACOT4	0	3	1	2	1	1	7	9	3	16	1	6	4062
165	ACOT6	1	1	2	1	2	1	0	0	0	0	0	1	3046
166	ACOT7	453	1278	462	1212	969	1243	416	556	286	700	212	519	94674
167	ACOT8	221	444	185	448	289	294	196	285	160	261	104	273	15690
168	ACOT9	201	543	208	589	297	368	225	259	87	264	73	226	39629
169	ACOX1	285	702	280	772	508	577	295	371	213	492	124	305	37929
170	ACOX2	4	30	11	33	12	12	7	2	3	4	4	6	32068
171	ACOX3	422	1080	547	1075	833	786	657	821	462	899	297	716	74445
172	ACOXL	24	50	29	80	35	42	45	76	16	56	16	73	385651
173	ACP1	64	195	55	180	87	132	90	141	59	147	50	140	7614
174	ACP2	252	419	309	492	231	290	303	232	195	272	148	296	9328
175	ACP4	1	1	0	0	0	0	0	0	0	1	0	0	4811
176	ACP5	0	1	1	1	3	1	0	0	0	0	0	0	3083
177	ACP6	167	421	204	455	254	291	75	84	72	99	38	125	23148
178	ACP7	43	94	40	112	74	82	20	20	8	25	9	22	27186
179	ACPP	4	9	1	5	3	1	1	1	1	1	2	0	41481
180	ACR	0	5	0	3	2	1	3	1	0	2	0	2	7077
181	ACRBP	72	212	111	254	149	176	101	114	80	140	56	126	9340
182	ACRV1	0	1	0	1	0	0	2	1	0	3	1	0	8566
183	ACSBG1	6	7	4	11	4	3	27	39	37	38	13	26	63864
184	ACSBG2	0	2	0	1	0	2	0	2	0	2	0	2	57472
185	ACSF2	262	621	253	700	313	381	253	232	182	317	71	162	48689
186	ACSF3	868	2329	845	2205	1243	1602	2030	2899	1292	2858	1021	3069	62039
187	ACSL1	225	583	169	375	1074	1140	87	99	50	110	90	216	50195
188	ACSL3	914	3225	775	2787	1610	1999	1721	2541	602	2055	592	1736	83719
189	ACSL4	1865	3969	1578	3730	2624	2692	244	329	180	554	93	230	92059
190	ACSL5	24	61	17	53	55	77	4	10	3	10	2	8	52184
191	ACSL6	1	5	2	4	0	5	7	7	2	5	3	6	61691
192	ACSM1	0	0	0	0	0	0	1	2	1	2	2	1	68021
193	ACSM2A	0	2	0	1	3	3	0	0	0	0	0	0	36210
194	ACSM2B	0	1	1	0	0	0	0	0	0	1	0	0	39617
195	ACSM3	6	43	9	48	9	11	4	9	1	4	5	9	22328
196	ACSM4	0	1	0	0	0	0	0	0	0	0	0	0	24043
197	ACSM5	0	0	0	1	2	0	0	0	0	0	0	0	10243
198	ACSM6	6	29	7	32	4	14	29	34	23	41	19	37	34731
199	ACSS1	76	227	93	215	215	250	11	13	4	3	1	2	26478
200	ACSS2	157	534	183	577	214	279	93	151	81	259	50	80	51443
201	ACSS3	1	6	4	3	4	4	108	124	47	130	45	127	178743
202	ACTA1	35	118	56	131	67	90	75	81	60	138	28	73	2853
203	ACTA2	2	30	10	40	14	20	4	1	4	1	3	3	17805
204	ACTB	428	1323	941	1715	1118	1046	724	1736	839	1732	487	1527	3565
205	ACTBL2	6	2	7	8	3	5	63	54	12	29	10	34	2795
206	ACTC1	3	5	6	6	3	3	4	25	11	32	2	11	7632
207	ACTG1	829	1842	1621	2305	1656	1616	619	689	398	883	286	589	2897
208	ACTG2	0	1	0	0	0	0	1	1	0	1	0	0	26689
209	ACTL10	2	0	0	1	1	1	3	1	3	3	2	4	2029
210	ACTL6A	55	188	58	176	88	95	283	319	123	343	102	304	25527
211	ACTL6B	0	1	0	0	0	0	0	1	0	0	0	0	13366
212	ACTL7A	0	0	0	0	0	0	0	0	0	0	0	0	1529
213	ACTL7B	1	3	0	6	1	1	1	2	0	1	2	3	1409
214	ACTL8	8	3	12	7	9	8	15	14	3	4	29	70	71752
215	ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	1435
216	ACTN1	2333	6256	2514	6093	3949	4390	2965	3653	2532	5802	823	2241	105245
217	ACTN2	2	3	2	1	1	0	101	114	63	147	43	110	78179
218	ACTN3	1	7	1	9	5	3	3	3	0	5	1	4	16490
219	ACTN4	5347	14547	5884	14724	6047	7535	2432	2719	2032	3916	663	1744	82918
220	ACTR10	89	340	86	300	165	164	314	352	143	399	112	339	35523
221	ACTR1A	287	861	297	806	478	573	358	392	232	543	147	335	23528
222	ACTR1B	139	385	189	433	243	310	477	583	303	612	222	476	8161
223	ACTR2	267	715	254	626	413	438	388	403	183	571	124	336	43560
224	ACTR3	323	787	330	851	456	440	939	929	458	1321	241	815	70958
225	ACTR3B	62	173	59	165	82	105	51	54	27	94	26	52	95632
226	ACTR5	115	297	87	274	167	198	251	301	165	388	111	311	23994
227	ACTR6	49	192	51	193	102	104	65	87	39	105	31	78	24339
228	ACTR8	242	526	284	593	398	415	494	473	258	566	177	469	15138
229	ACTRT1	0	0	0	0	0	0	0	0	0	0	1	0	1443
230	ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	1423
231	ACTRT3	38	79	59	96	59	63	0	0	0	0	1	0	2976
232	ACVR1	214	598	214	620	306	363	422	438	261	694	139	386	101834
233	ACVR1B	152	512	159	446	281	350	235	289	138	310	161	465	43701
234	ACVR1C	2	8	3	5	0	2	4	8	6	10	4	8	70795
235	ACVR2A	72	214	62	220	104	123	395	477	182	536	188	526	85834
236	ACVR2B	183	468	196	498	289	305	358	463	176	449	119	394	38845
237	ACVRL1	1	17	5	10	7	5	1	0	2	1	2	2	11034
238	ACY1	40	153	44	134	70	80	105	186	51	193	40	120	5920
239	ACY3	12	18	12	38	11	16	4	10	9	15	3	5	8106
240	ACYP1	104	320	137	300	214	261	127	165	74	155	55	182	10830
241	ACYP2	19	44	11	51	25	38	16	27	15	39	5	14	20138
242	ADA	195	546	210	524	361	413	96	123	84	132	45	164	32241
243	ADA2	0	0	0	1	0	1	0	1	0	0	0	1	20995
244	ADAD1	0	0	0	1	1	0	0	0	0	0	2	11	50354
245	ADAD2	0	0	0	0	0	0	0	0	0	1	0	1	6051
246	ADAL	31	84	24	73	37	56	67	95	31	87	27	81	19063
247	ADAM10	939	2941	839	2714	1252	1489	740	920	470	1311	234	682	154776
248	ADAM11	45	204	77	197	101	104	127	192	80	166	50	145	22669
249	ADAM12	697	1880	720	1790	947	1057	1658	2361	855	2605	521	2048	347218
250	ADAM15	50	169	69	135	171	188	46	59	34	67	28	63	7413
251	ADAM17	576	1661	598	1590	1160	1458	561	696	305	752	244	623	67336
252	ADAM18	0	0	0	0	0	0	0	0	0	0	0	0	27009
253	ADAM19	535	1204	568	1261	557	547	915	977	861	1859	198	579	98521
254	ADAM2	0	0	0	0	0	0	0	0	0	0	0	0	94556
255	ADAM20	17	27	12	44	24	24	29	12	19	53	9	25	12656
256	ADAM21	0	0	0	0	0	0	0	0	0	0	0	0	7750
257	ADAM22	22	117	15	85	30	40	87	70	25	75	38	96	247972
258	ADAM23	63	143	47	130	76	88	77	110	43	133	35	102	177488
259	ADAM28	8	14	6	16	8	6	0	1	2	2	0	3	42061
260	ADAM29	0	1	0	0	0	0	0	1	0	1	0	0	59824
261	ADAM30	0	0	0	0	1	1	3	0	2	0	0	0	2993
262	ADAM32	0	1	0	0	1	0	0	0	1	0	0	0	177390
263	ADAM33	0	0	0	3	0	4	1	0	1	2	0	2	14727
264	ADAM7	0	0	0	0	1	2	5	7	3	7	0	4	68571
265	ADAM8	162	533	230	523	267	356	154	201	126	235	65	176	14489
266	ADAM9	822	1985	630	1712	1835	2077	1275	1711	441	1317	436	1430	108277
267	ADAMDEC1	0	0	0	0	0	0	0	3	0	0	0	1	21730
268	ADAMTS1	9	43	11	28	21	28	131	201	106	485	21	126	9124
269	ADAMTS10	632	1806	936	2175	1156	1312	65	86	57	132	33	62	11958
270	ADAMTS12	16	34	14	33	27	20	592	882	271	939	240	995	140997
271	ADAMTS13	94	351	124	313	133	235	108	148	83	123	36	136	37405
272	ADAMTS14	4	26	8	21	4	5	70	73	21	47	24	67	89937
273	ADAMTS15	48	155	35	139	95	125	48	61	51	85	28	59	27673
274	ADAMTS16	161	568	163	513	281	304	685	938	399	1056	414	1447	179974
275	ADAMTS17	18	37	16	34	40	32	313	348	174	382	148	437	370569
276	ADAMTS18	35	64	22	75	79	50	23	11	4	18	1	8	152988
277	ADAMTS19	1	0	0	1	0	0	25	44	10	29	6	47	278420
278	ADAMTS2	0	4	1	3	1	2	189	201	90	219	72	195	194752
279	ADAMTS20	1	3	0	4	3	2	131	206	46	209	42	129	198107
280	ADAMTS3	8	11	2	10	5	3	899	1131	443	1255	330	1136	287832
281	ADAMTS4	1	0	2	3	2	1	0	1	0	2	0	1	9326
282	ADAMTS5	0	0	0	2	5	0	279	355	149	561	84	239	49210
283	ADAMTS6	39	116	44	99	68	61	2514	3492	1005	3375	546	2072	333186
284	ADAMTS7	139	294	128	274	508	498	237	253	40	41	91	174	52262
285	ADAMTS8	5	7	2	6	6	13	50	67	14	30	73	170	24072
286	ADAMTS9	704	1953	658	1845	1300	1578	70	105	20	62	94	196	172037
287	ADAMTSL1	30	55	14	63	43	31	875	1012	438	1094	756	1910	210878
288	ADAMTSL2	0	2	0	0	0	0	9	9	4	11	2	2	40668
289	ADAMTSL3	8	23	3	28	18	11	641	582	300	714	278	609	385758
290	ADAMTSL4	12	43	23	30	33	32	68	77	29	59	17	41	9381
291	ADAMTSL5	36	119	78	133	75	100	136	216	165	283	43	130	8173
292	ADAP1	35	76	31	58	34	47	21	24	15	32	6	22	22991
293	ADAP2	37	69	27	75	40	30	18	28	12	22	13	22	37459
294	ADAR	343	946	357	904	510	583	500	626	301	634	202	562	24245
295	ADARB1	138	353	103	338	186	274	91	89	56	85	32	91	74035
296	ADARB2	2	4	2	2	3	5	33	32	19	40	46	101	560165
297	ADAT1	244	784	303	839	387	557	455	595	331	601	289	769	26446
298	ADAT2	28	85	20	91	41	53	145	140	60	147	54	156	19847
299	ADAT3	68	228	85	244	129	175	147	219	99	217	48	188	8235
300	ADCK1	269	791	249	764	382	481	167	196	77	207	62	195	133873
301	ADCK2	84	266	101	264	168	149	48	63	48	104	27	66	21957
302	ADCK5	89	326	134	308	188	212	237	305	174	427	100	203	19229
303	ADCY1	99	278	118	275	109	138	89	94	78	103	54	133	90152
304	ADCY10	110	277	117	298	207	200	93	90	59	161	50	64	104840
305	ADCY2	6	12	6	8	8	10	180	166	73	156	97	261	433853
306	ADCY3	299	824	314	850	461	523	455	582	268	719	207	645	100850
307	ADCY4	1	5	3	6	2	3	0	2	0	2	0	1	16724
308	ADCY5	37	78	16	59	44	35	98	111	54	83	63	169	134048
309	ADCY6	227	605	294	709	313	383	170	166	179	273	80	125	22907
310	ADCY7	116	282	113	283	151	161	268	418	214	444	84	270	22619
311	ADCY8	20	18	9	21	24	28	207	203	60	144	56	125	260290
312	ADCY9	227	610	268	669	279	371	174	216	94	227	63	168	153538
313	ADCYAP1	0	0	0	0	0	0	1	0	0	0	0	2	6978
314	ADCYAP1R1	0	2	2	9	3	4	15	25	4	29	10	25	59020
315	ADD1	291	816	318	792	529	557	504	500	312	669	176	461	85928
316	ADD2	229	709	245	765	402	442	187	224	113	233	86	225	92633
317	ADD3	173	362	137	395	201	268	445	510	229	638	154	406	127631
318	ADGB	0	3	1	3	1	2	43	45	9	46	10	36	216464
319	ADGRA1	1	6	2	3	4	10	1	7	2	3	1	6	29431
320	ADGRA2	133	420	133	428	245	301	173	144	75	107	79	142	47105
321	ADGRA3	347	1117	454	1086	468	559	503	708	266	802	193	633	128682
322	ADGRB1	122	329	131	357	202	262	433	532	310	507	278	677	80993
323	ADGRB2	108	350	179	409	149	180	222	232	297	485	48	113	36960
324	ADGRB3	6	4	1	5	3	2	125	110	55	146	51	161	753773
325	ADGRD1	15	53	28	34	32	40	339	418	220	429	216	605	187564
326	ADGRE1	17	72	23	85	41	51	12	35	6	45	5	18	52906
327	ADGRE2	13	42	12	30	18	26	17	19	8	21	14	19	44232
328	ADGRE3	0	1	0	0	0	0	0	0	0	0	1	0	55803
329	ADGRE5	171	721	225	712	324	484	248	363	205	446	105	273	27583
330	ADGRF1	0	1	0	2	1	0	1	1	4	5	0	3	22479
331	ADGRF2	20	23	15	30	35	21	10	5	6	12	4	13	41209
332	ADGRF3	10	12	7	19	3	10	0	0	0	0	0	0	9107
333	ADGRF4	114	284	91	241	406	412	24	20	1	0	17	30	23478
334	ADGRF5	0	4	1	1	3	0	18	19	3	36	8	22	69474
335	ADGRG1	190	502	213	550	203	246	130	148	61	120	44	132	25746
336	ADGRG2	148	408	103	332	626	608	49	41	9	24	41	85	133332
337	ADGRG3	6	31	10	26	17	23	11	7	1	5	1	16	21135
338	ADGRG4	0	0	0	0	0	0	3	7	2	7	3	2	115927
339	ADGRG5	5	6	4	6	5	4	0	0	0	1	0	1	34554
340	ADGRG6	265	790	207	599	847	920	212	324	102	402	44	150	144349
341	ADGRG7	0	3	4	8	5	3	1	1	0	5	0	6	59943
342	ADGRL1	73	230	84	267	133	215	401	519	342	753	134	440	58450
343	ADGRL2	130	382	125	364	173	210	365	438	212	554	159	437	192997
344	ADGRL3	67	160	39	157	93	117	1101	1587	247	531	899	2268	877081
345	ADGRL4	0	1	0	0	0	0	27	39	15	56	9	32	117048
346	ADGRV1	125	201	105	212	101	93	465	466	218	493	186	522	605418
347	ADH1A	0	0	0	0	0	0	0	0	0	0	0	0	14664
348	ADH1B	0	0	0	0	0	0	0	0	0	0	0	0	15057
349	ADH1C	0	1	0	0	0	0	0	0	0	0	0	0	16555
350	ADH4	0	0	0	0	0	0	0	0	0	0	1	1	20643
351	ADH5	134	357	201	397	208	277	407	425	159	395	239	552	17812
352	ADH6	1	4	0	5	4	2	0	1	0	0	0	0	14526
353	ADH7	0	0	0	0	0	1	0	0	0	0	1	4	22875
354	ADHFE1	134	412	105	317	184	214	239	276	132	279	89	286	36328
355	ADI1	62	243	49	171	95	102	98	126	40	95	51	131	19830
356	ADIG	27	97	21	90	66	77	57	58	37	84	10	50	7270
357	ADIPOQ	0	0	0	0	0	0	0	0	0	0	0	0	15791
358	ADIPOR1	137	487	159	474	235	258	288	413	156	385	109	351	17161
359	ADIPOR2	259	913	273	959	556	620	1033	1243	561	1733	373	1397	97600
360	ADIRF	4	11	1	12	8	8	153	256	199	258	81	180	2480
361	ADK	669	2063	700	2075	1136	1318	2613	3275	1252	3566	996	3097	532816
362	ADM	443	1067	538	1141	869	1031	41	50	50	107	29	45	2424
363	ADM2	3	10	3	12	1	4	171	195	164	210	78	129	4715
364	ADM5	147	534	224	615	242	348	282	418	255	490	133	319	2307
365	ADNP	255	779	281	773	457	497	1203	1404	475	1304	456	1302	20875
366	ADNP2	224	641	204	579	288	386	815	1098	382	1097	383	1112	31317
367	ADO	37	136	38	135	87	70	114	132	64	139	36	99	3725
368	ADORA1	33	71	37	81	54	23	80	73	73	123	21	47	39699
369	ADORA2A	15	63	30	58	17	29	52	64	28	71	15	55	10243
370	ADORA2B	103	364	89	335	199	279	468	514	254	689	227	507	30981
371	ADORA3	0	0	0	0	0	0	0	0	1	0	0	0	4694
372	ADPGK	299	901	295	923	464	564	309	327	118	356	111	359	32420
373	ADPRH	10	38	10	26	18	15	6	26	9	30	11	31	10514
374	ADPRHL1	157	392	168	412	249	294	139	127	82	182	62	167	27204
375	ADPRHL2	104	255	87	248	180	182	244	234	116	235	94	259	5082
376	ADPRM	114	328	92	287	159	199	160	224	71	147	120	399	13950
377	ADRA1A	0	0	0	0	0	0	9	9	5	16	6	17	86604
378	ADRA1B	262	550	208	405	629	541	1513	1906	314	926	516	1125	56279
379	ADRA1D	101	352	135	367	98	147	5	5	6	11	5	7	28383
380	ADRA2A	4	5	0	6	4	18	6	5	2	6	4	8	3877
381	ADRA2B	1	3	1	2	3	4	7	11	10	6	2	8	3372
382	ADRA2C	7	29	11	21	15	19	14	15	4	8	15	41	1959
